numero,compromiso,titulo,desc,categoria,slug,icono,subarea,area1,area2,area3,area4,embed_map_titulo,embed_map_url,imagen,n_metas,metas,metrica,cumplimiento,cumplimiento_label,porcentaje_completado,cumplimiento_2,cumplimiento_2_label,cumplimiento_2_porcentaje_completado,detalle_1,detalle_1_nombre,detalle_1_nota,detalle_1_fuente,detalle_1_descripcion,detalle_2,detalle_2_nombre,detalle_2_nota,detalle_2_fuente,detalle_2_descripcion,detalle_3,detalle_3_nombre,detalle_3_nota,detalle_3_fuente,detalle_3_descripcion,detalle_4,detalle_4_nombre,detalle_4_nota,detalle_4_fuente,detalle_4_descripcion,url_interna,comunas
29,15.000 jóvenes capacitados para los empleos del futuro,15.000 jóvenes capacitados para los empleos del futuro,"¡Compromiso cumplido! Nos comprometimos a capacitar a 15.000 jóvenes en tecnologías disruptivas tales como robótica, modelado, impresión 3D y Arduino",Creatividad,creatividad,escuela,Educación,Transformación educativa,Creatividad y Cultura,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/29__empleos_del_futuro_1.jpg,1,,,2019,Jóvenes capacitados,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/29.1 Empleos del futuro.csv,Cantidad de jóvenes capacitados en el programa “Empleos del Futuro”,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/29_empleos_futuro.jpg,¿Qué son los empleos del futuro?,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/15000-jovenes-capacitados-para-los-empleos-del-futuro,"1,2,3,4,5"
30,1 millón de nuevos vecinos en MiBA,1 millón de nuevos vecinos en MiBA,¡Compromiso cumplido! Nos comprometimos a incluir a un millón más de vecinos a esta plataforma que permite agilizar trámites y obtener información de la Ciudad de forma más sencilla y personalizada.,Creatividad,creatividad,celular,Tecnología,Creatividad y Cultura,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/30_mi_ba_app_baja.jpg,1,,,2017,Usuarios registrados,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/30.1 MiBA.csv,Cantidad de usuarios registrados en MiBA (proyectado y avance real),-Nota: El Compromiso implica triplicar los usuarios partiendo de los 500.000 registrados a agosto 2016.,-,,,,,,,http://i.imgur.com/RGe1cEY.gif,Cómo funciona MiBA,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/1-millon-de-nuevos-vecinos-en-miba-app,"2,3,4,5"
31,5 nuevas áreas con prioridad peatonal,5 nuevas áreas con prioridad peatonal,"¡Compromiso cumplido! Nos comprometimos a desarrollar 5 nuevas áreas con prioridad peatonal, mejorando así la calidad de vida de los vecinos, la convivencia, el tránsito, la seguridad vial y el medio ambiente.",Ciudad a Escala Humana,humana,celular,Tecnología,Transporte público seguro y de calidad,Más espacio público y verde de calidad,,,Mapa de áreas con prioridad peatonal,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_prioridad_peaton/,https://www.buenosaires.gob.ar/sites/gcaba/files/31_prioridad_peatonal.jpg,1,,,2019,Avance de obra,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/31.1 Prioridad peatonal.csv,"Avance de las obras, en porcentajes",,,,,,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/31_prioridad_peatonal_0.jpg,Promovemos la prioridad de peatones y ciclistas,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/31_prioridad_peatonal_02.jpg,Beneficios de las áreas con prioridad peatonal,,,,http://www.buenosaires.gob.ar/compromisos/5-nuevas-areas-con-prioridad-peatonal,"3,6,7,8"
32,Retiro de autos abandonados en 15 días,Retiro de autos abandonados en 15 días,Nos comprometemos a retirar todos los autos abandonados de la Ciudad y a reducir el tiempo a 15 días desde su notificación al titular.,Ciudad a Escala Humana,humana,celular,Tecnología,Más espacio público y verde de calidad,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/32_retiro_autos_abandonados.jpg,1,,,2017,Autos retirados en 15 días,61,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/32.1 Retiro de autos.csv,"Autos abandonados retirados dentro de los 15 días, en porcentajes",,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/32.2 Retiro de autos.csv,Evolución de stock de autos abandonados,,,,http://i.imgur.com/bLJKik1.gif,Cómo es el proceso,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/retiro-de-autos-abandonados-en-15-dias,"9,10,11,12,13,14,15"
33,200 estaciones de EcoBici,200 estaciones de EcoBici,¡Compromiso cumplido! Nos comprometimos a extender la red EcoBici para que la Ciudad cuente con 200 estaciones en 2017.,Ciudad a Escala Humana,humana,celular,Tecnología,Transporte público seguro y de calidad,,,,Mapa de ciclovías y estaciones EcoBici,https://epok.buenosaires.gob.ar/pub/mapa/ecobici/estaciones_de_bicicletas/,https://www.buenosaires.gob.ar/sites/gcaba/files/33_eco_bici.jpg,1,,,2017,Apertura de estaciones EcoBici,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/33.1 Ecobicis.csv,Estaciones EcoBici en funcionamiento,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/33.2 Ecobicis.csv,Cantidad de bicicletas incorporadas y viajes mensuales,,,,,,,,,https://youtu.be/i94HX37Z8Xk,,,,,http://www.buenosaires.gob.ar/compromisos/200-estaciones-de-ecobici,"1,2,3,4,5"
34,25 nuevos pasos bajo nivel y aperturas de calles,25 nuevos pasos bajo nivel y aperturas de calles,"Nos comprometemos a construir 25 nuevos pasos bajo nivel y aperturas de calles para mejorar la movilidad, la seguridad y fluidez del tránsito.",Ciudad a Escala Humana,humana,obrero,Infraestructura,Transporte público seguro y de calidad,Grandes obras públicas,,,Mapa de pasos bajo nivel,https://epok.buenosaires.gob.ar/pub/mapa/usig/pasos_bajo_nivel/,https://www.buenosaires.gob.ar/sites/gcaba/files/34_pasos_bajo_nivel.jpg,1,,,2019,Nuevos pasos bajo nivel + apertura de calles,96,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/25-nuevos-pasos-bajo-nivel-y-aperturas-de-calles,"2,3,4,5"
35,1 Centro Integral de la Mujer por Comuna,1 Centro Integral de la Mujer por Comuna,"¡Compromiso cumplido! Nos comprometimos a crear 8 nuevos Centros Integrales de la Mujer para brindar asistencia, orientación y acompañamiento a víctimas de violencia de género en todas las Comunas de la Ciudad.",Integración Social,social,persona,Salud,Género,Seguridad,Desarrollo humano y Salud,,Mapa de CIMs,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_centros_integrales_de_la_mujer/,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/35_centro_integral_mujer.jpg,1,,,2019,Comunas con CIM,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/35.1 CIM.csv,"Nuevos Centros Integrales de la Mujer, en porcentajes",,-,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/35.2 CIM.csv,Tipo y cantidad de consultas efectuadas en los CIMs,En base a datos del Ministerio de Desarrollo Humano y Habitat.,"Estadísticas y Censos CABA, 2016",,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/CIM_Linea144.jpg,"Llamanos, podemos ayudarte",,,,https://youtu.be/WY12_5iAF0U,"Presentación del programa ""Tobilleras Mujeres Seguras""",,,,http://www.buenosaires.gob.ar/compromisos/8-nuevos-centros-integrales-de-la-mujer,"3,6,7,8"
36,1000 nuevos restaurantes amigos de las mascotas,1.000 nuevos restaurantes amigos de las mascotas,¡Compromiso cumplido! Nos comprometimos a que 1.000 nuevos locales gastronómicos de la Ciudad permitan la permanencia de mascotas en las mesas exteriores en 2017.,Disfrute y Convivencia,disfrute,perro,Accesibilidad,Más espacio público y verde de calidad,,,,Mapa de locales adheridos,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_locales_gastronomicos_amigos_de_las_mascotas/,https://www.buenosaires.gob.ar/sites/gcaba/files/field/image/inauguracio_n_canil_plaza_armenia_e_inauguracio_n_pet_friendly-_apra_-_028.jpg,1,,,2017,Nuevos restaurantes incorporados,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/36.1 Mascotas.csv,Restaurantes amigos de las mascotas (2017),Nuevos restaurantes amigos de las mascotas (mensual),Agencia de Protección Ambiental (GCBA),,https://youtu.be/0K35VEY8r3s,¡Compromiso cumplido!,Mirá todo lo que logramos juntos,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/1000-nuevos-restaurantes-amigos-de-las-mascotas,"9,10,11,12,13,14,15"
37,Desarrollar 20 Centros Comerciales a Cielo Abierto,Desarrollar 20 Centros Comerciales a Cielo Abierto,"¡Compromiso cumplido! Nos comprometimos a mejorar la calidad del espacio público en 20 áreas comerciales para potenciar su mayor utilización y disfrute, con la renovación de veredas, la ampliación del espacio peatonal, con más arbolado y puesta en valor de edificios.",Ciudad a Escala Humana,humana,edificio,Espacios verdes,Más espacio público y verde de calidad,,,,Mapa de CCCAs,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_centros_comerciales_a_cielo_abierto/,https://www.buenosaires.gob.ar/sites/gcaba/files/centros_comerciales_a_cielo_abierto_0.png,1,,,2017,Avance de obra,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/37.1 Centros comerciales.csv,"Nuevos centros comerciales a cielo abierto, en porcentajes",,,,,,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/37.3 Centros comerciales.csv,Nuevos centros comerciales a cielo abierto,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/37_centros_comerciales.jpg,Cómo lo hemos logrado,,,,http://www.buenosaires.gob.ar/compromisos/desarrollar-20-centros-comerciales-cielo-abierto,"1,2,3,4,5"
38,23.000 metros de obras hidráulicas y sistema de alerta temprana,23.000 metros de obras hidráulicas y sistema de alerta temprana,Nos comprometemos a realizar 23.000 metros de obras hidráulicas - incluyendo la obra del segundo emisario del Arroyo Vega y la ampliación de la red pluvial Ramal Caaguazú- y un sistema de alerta temprana para actuar rápidamente ante lluvias fuertes para solucionar de forma integral el problema de las inundaciones en la Ciudad.,Disfrute y Convivencia,disfrute,obrero,Infraestructura,Grandes obras públicas,Más espacio público y verde de calidad,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/obras_hidraulicas_0.jpg,1,,,2019,Avance de obra,74.5,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/38.1 Obras hidraulicas.csv,"Construcción de obra hidráulica, en porcentajes",,,,,,,,,https://youtu.be/_K0ClQqQ7qE,"Ramal Austria, una obra que beneficiará a 50.000 vecinos",,,,,,,,,http://www.buenosaires.gob.ar/compromisos/23000-metros-de-obras-hidraulicas-y-sistema-de-alerta-temprana,"2,3,4,5"
39,2 nuevos espacios verdes en Once,2 nuevos espacios verdes en Once,¡Compromiso cumplido! Nos comprometimos a construir el Parque de la Estación y un nuevo espacio verde en la Manzana 66 de Once como parte del plan integral de recuperación del barrio.,Ciudad a Escala Humana,humana,arbol,Espacios verdes,Más espacio público y verde de calidad,,,,Mapa de los futuros espacios verdes del barrio de Once,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_espacios_verdes_once/,https://www.buenosaires.gob.ar/sites/gcaba/files/espacios_verdes_once.png,1,,,2019,Avance de obra,100,,,,https://youtu.be/BMQ4WqAqGFM,Conocé el futuro Parque de la Estación,,,,https://youtu.be/UTR-0E28DDM,Cómo será la puesta en valor de Once,,,,https://www.youtube.com/watch?v=UTR-0E28DDM,,,,,https://www.youtube.com/watch?v=BMQ4WqAqGFM,,,,,http://www.buenosaires.gob.ar/compromisos/2-nuevos-espacios-verdes-en-once,"3,6,7,8"
40,110 hectáreas de nuevo espacio verde público,110 hectáreas de nuevo espacio verde público,Nos comprometemos a ejecutar los más de 30 proyectos que comprenden el Plan Verde de la Ciudad para crear 160 nuevas hectáreas de espacio público de las cuales 110 son puramente verdes.,Ciudad a Escala Humana,humana,arbol,Espacios verdes,Más espacio público y verde de calidad,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/110_hectareas_verdes.jpg,1,,,2019,Nuevas hectáreas verdes públicas ,38,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/110-hectareas-de-nuevo-espacio-verde-publico,"9,10,11,12,13,14,15"
41,Sistema online de obras públicas abiertas,Sistema online de obras públicas abiertas,"¡Compromiso cumplido! Nos comprometimos a publicar un sistema de obras públicas abiertas online, que incluya información completa sobre las obras que se están realizando en la Ciudad.",Creatividad,creatividad,obrero,Tecnología,Creatividad y Cultura,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/obras_publicas_abiertas_2.jpg,1,,,2017,Avance de actividades,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/41.1 Obras publicas.csv,"Avance de compromiso, en porcentajes",,,,http://www.buenosaires.gob.ar/sites/gcaba/files/41_obras_publicas_abiertas.jpg,Así funciona el sistema,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/sistema-online-de-obras-publicas-abiertas,"1,2,3,4,5"
42,Campus Urbano en Plaza Houssay,Campus Urbano en Plaza Houssay,"Nos comprometemos a desarrollar un polo recreativo, cultural, y gastronómico en Plaza Houssay para facilitar el encuentro y el disfrute de los vecinos, poner en valor la plaza y su entorno y facilitar la interconexión de los distintos medios de transporte.",Ciudad a Escala Humana,humana,arbol,Espacios verdes,Más espacio público y verde de calidad,Grandes obras públicas,,,Mapa,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_plaza_houssay/,https://www.buenosaires.gob.ar/sites/gcaba/files/campus_urbano_plaza_houssay_-_render_1.jpg,1,,,2019,Avance de obra,70,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/42_campo_urbano_houssay.jpg,Cómo vamos a lograrlo,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/campus_urbano_plaza_houssay_-_render_vista_interior_paseo_comercial.jpg,Así será el Campus Urbano,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/campus-urbano-en-plaza-houssay,"2,3,4,5"
43,Llegar a 250km de ciclovías y a 400 estaciones de Ecobici,Llegar a 250km de ciclovías y a 400 estaciones de Ecobici,Nos comprometemos a  extender la red de ciclovías a 250 kilómetros y llegar a 400 estaciones de Ecobici para tener una Ciudad más conectada y que priorice al peatón y la bicicleta.,Ciudad a Escala Humana,humana,bici,Transporte Público,Transporte público seguro y de calidad,,,,Mapa de ciclovías y estaciones EcoBici,https://epok.buenosaires.gob.ar/pub/mapa/ecobici/estaciones_de_bicicletas/,https://www.buenosaires.gob.ar/sites/gcaba/files/si__mg_0199.jpg,2,,,2019,Km ciclovías,93,2019,Estaciones Ecobici,50,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/43.1 Ciclovias.csv,Nuevas estaciones de Ecobici,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/43.2 Ciclovias.csv,"Nuevas ciclovías, en kilómetros",,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/llegar-250-km-de-ciclovias-y-400-estaciones-de-ecobici,"3,6,7,8"
44,Sistema de información de llegada de colectivos,Sistema de información de llegada de colectivos,Nos comprometemos a  implementar un sistema de arribo predictivo de colectivos que permitirá a los usuarios saber cuánto falta para el siguiente colectivo y viajar así mejor y más rápido.,Creatividad,creatividad,subte,Transporte Público,Transporte público seguro y de calidad,Seguridad,Género,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/info_llegada_colectivos_2.jpg,1,,,2018,Porcentaje de líneas con sistema,26,,,,,,,,,,,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/44.3 info colectivos.csv,"Avance del compromiso, en porcentajes",,,,,,,,,http://www.buenosaires.gob.ar/compromisos/sistema-de-informacion-de-llegada-de-colectivos,"9,10,11,12,13,14,15"
45,Sumar 4.000 nuevos policías en las calles,Sumar 4.000 nuevos policías en las calles,¡Compromiso cumplido! Nos comprometimos a sumar 4.000 nuevos policías en las calles y plazas para cuidar mejor a nuestros vecinos.,Disfrute y Convivencia,disfrute,policia,Seguridad,Seguridad,Género,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/4000_nuevos_policias.png,1,,,2019,Nuevos policías en las calles,100,,,,https://youtu.be/J2kVok4FPNA,Conocé el Sistema Integral de Seguridad Pública,,,,https://www.youtube.com/watch?v=NbVpgMQqtKQ,Más presencia Policial en las calles de la Ciudad,,,,https://www.youtube.com/watch?v=CBByrOFAFw0,,,,,https://www.youtube.com/watch?v=kPhyYLIlK8s,,,,,http://www.buenosaires.gob.ar/compromisos/sumar-4000-nuevos-policias-en-las-calles,"1,2,3,4,5"
46,"10.000 cámaras en colectivos, subtes y vía pública","10.000 cámaras en colectivos, subtes y vía pública","¡Compromiso cumplido! Nos comprometimos a incorporar 10.000 cámaras en colectivos y en la vía pública para mejorar la prevención del delito, el ordenamiento del tránsito y la seguridad de todos los vecinos.",Disfrute y Convivencia,disfrute,subte,Transporte Público,Transporte público seguro y de calidad,Más espacio público y verde de calidad,Seguridad,Género,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/10000_nuevas_camaras.jpg,1,,,2019,"Cámaras en colectivos, subtes y vía pública",100,,,,http://www.ash.buenosaires.gob.ar/sites/gcaba/files/grafico_10.000_camaras_interna_0.jpg,"Cámaras instaladas, total acumulado",,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/46.2 Camaras.csv,Distribución de cámaras según tipo,,,,https://youtu.be/mZTK5EbBfKU,Nuevo Centro de Monitoreo en Puente La Noria,,,,https://youtu.be/ZkJNczWIrJo,Cámaras en colectivos,,,,http://www.buenosaires.gob.ar/compromisos/10000-camaras-en-colectivos-subtes-y-publica,"2,3,4,5"
47,100% docentes capacitados en tecnologías digitales,100% docentes capacitados en tecnologías digitales,"Nos comprometemos a que todos los docentes -de educación inicial, primaria y secundaria- estén capacitados en las nuevas tecnologías para que nuestras escuelas estén adaptadas a los cambios y desafíos del mundo digital.",Creatividad,creatividad,escuela,Educación,Transformación educativa,Creatividad y Cultura,Género,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/docentes_capacitados.jpg,1,,,2019,Avance de actividades,78,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/100-docentes-capacitados-en-nuevas-tecnologias,"3,6,7,8"
48,80.000 vecinos de barrios vulnerables con infraestructura urbana y servicios públicos,80.000 vecinos de barrios vulnerables con infraestructura urbana y servicios públicos,"Nos comprometemos a construir redes de agua y electricidad, cloacas, nuevos espacios públicos y verdes y calles asfaltadas en barrios vulnerables para que 80.000 vecinos cuenten con infraestructura urbana y servicios públicos.",Integración Social,social,persona,Vivienda,Desarrollo humano y Salud,Grandes obras públicas,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/field/image/barrio4.jpg,1,,,2019,Avance promedio de obras,64,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/80000-vecinos-de-barrios-vulnerables-con-infraestructura-urbana-y-servicios-publicos,"9,10,11,12,13,14,15"
49,Mudar el Ministerio de Desarrollo Humano al predio del Elefante Blanco,Mudar el Ministerio de Desarrollo Humano al predio del Elefante Blanco,Nos comprometemos a mudar el Ministerio de Desarrollo Humano al predio del Elefante Blanco en el Barrio 15 y construir un nuevo gran espacio verde para dar impulso y reactivar la actividad comercial de esta zona del sur de la Ciudad.,Integración Social,social,persona,Vivienda,Grandes obras públicas,Desarrollo humano y Salud,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/elefante_blanco_0.jpg,1,,,2019,Demolición + Avance de obra,75,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/mudar-el-ministerio-de-desarrollo-humano-al-predio-del-elefante-blanco,"9,10,11,12,13,14,15"
50,Construir un Polo Educativo en Mataderos,Construir un Polo Educativo en Mataderos,"Nos comprometemos a construir un Polo Educativo en la zona de Mataderos que cuente con un polideportivo,  una escuela inicial, una primaria, una media, una secundaria y una técnica. ",Integración Social,social,escuela,Educación,Transformación educativa,Grandes obras públicas,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/polo_educativo_mataderos.jpg,1,,,2019,Avance de obra,96,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/construir-un-polo-educativo-en-mataderos,"9,10,11,12,13,14,15"
51,Completar 8 polos educativos,Completar 8 polos educativos,Nos comprometemos a completar 8 polos educativos a fin de 2019 para seguir construyendo una educación pública integrada y de calidad.,Integración Social,social,escuela,Educación,Transformación educativa,Grandes obras públicas,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/polo_maria_elena_walsh_render.png,1,,,2019,Avance promedio de obras,88,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/51.1 8 polos.csv,"Avance de obras, en porcentajes",,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/construir-8-polos-educativos,"9,10,11,12,13,14,15"
52,20.000 familias acceden a la vivienda propia con apoyo de la Ciudad,20.000 familias acceden a la vivienda propia con apoyo de la Ciudad,Nos comprometemos a que 20.000 familias accedan a la vivienda propia mediante créditos con apoyo de la Ciudad.,Integración Social,social,edificio,Vivienda,Desarrollo humano y Salud,,,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/visita_complejo_estacion_saenz_4.jpg?itok=FuYSX-zh,1,,,2019,Cantidad de créditos otorgados,39,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/52.1 Vivienda propia.csv,Créditos hipotecarios planificados y otorgados 2017-2019 (acumulado),,,,https://youtu.be/4RET5y3UreA,El sueño de tu primera casa,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/20000-familias-acceden-la-vivienda-propia-con-apoyo-de-la-ciudad,"9,10,11,12,13,14,15"
53,Teatro Colón en el Distrito de las Artes,Teatro Colón en el Distrito de las Artes,Nos comprometemos a sumar un nuevo espacio del Teatro Colón al Distrito de las Artes en el barrio de La Boca.,Disfrute y Convivencia,creatividad,edificio,Participación,Creatividad y Cultura,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/sala_teatro_colon_desde_el_escenario_-__colon_0.jpg?itok=JHAwdSFC,1,,,2019,Avance de obra,15,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/teatro-colon-en-el-distrito-de-las-artes,"9,10,11,12,13,14,15"
54,Tarjeta de acceso a bienes culturales para jóvenes y docentes,Tarjeta de acceso a bienes culturales para jóvenes y docentes,¡Compromiso cumplido! Nos comprometimos a facilitar el acceso de jóvenes y docentes a la oferta cultural pública y privada de la Ciudad a través de una tarjeta de acceso cultural.,Creatividad,creatividad,escuela,Educación,Creatividad y Cultura,,,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/pase_cultural_2_1_0.jpg?itok=y0-invUE,1,,,2019,Avance de actividades,100,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/sistema-de-bonos-culturales-para-jovenes-y-docentes-0,"9,10,11,12,13,14,15"
