direccion,latitude,longitude,numero,compromiso,accion,eje,Area temática,anio,Barrio,Comuna,descripcion
Pepirí 185,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Fernandez de la cruz  y Escalada (Villa Olimpica),-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Varela y Fernandez de la Cruz,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Catamarca y Belgrano - Manzana 66,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Almafuerte y Ferreyra,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Basualdo 1.700 - Los Bajitos,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Pichincha 1152,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Lagos 2929,-35,-5840318,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Ramón Lista 5448,-35,-58525644,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Monte S/N (Eva Peron 7449),-35,-59,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Bermejo 6675,-35,-59,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Lafayatte 601,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Lafayatte 601,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Emprendimiento Barrio 31,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Polo Walsh,Integración Social,,2019,,,
Larrazabal 5430,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Murguiondo y Directorio,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Inicial Polo Mataderos,Integración Social,,2019,,,
Venezuela 3269,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Perú 1236,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Chorroarín 305,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Fernandez de la Cruz y Escalada (Papa Francisco),-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Castañares 6500,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Letonia y Antártida Argentina,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Fonrouge y Barros Pazos,-35,-58,12,30 nuevas escuelas con salas de 3 años (2019),Cosntrucción escuela - Sin Nombre,Integración Social,,2019,,,
Uriburu- Avenida Corrientes - Avenida Pueyrredón - Avenida Rivadavia,-35,-58,31,5 nuevas áreas con prioridad peatonal (2019),Área Ambiental Once,Escala Humana,,2019,,,
Av. Rivadavia y San Martín,-35,-58,31,5 nuevas áreas con prioridad peatonal (2019),Área Ambiental Microcentro,Escala Humana,,2019,,,
Cerrito - Avenida Córdoba - Avenida Callao - Avenida Corrientes,-35,-58,31,5 nuevas áreas con prioridad peatonal (2019),Área Ambiental Tribunales,Escala Humana,,2019,,,
Avenida Santa Fe - Maipú - Avenida Libertador - Carlos Pellegrini,-35,-58,31,5 nuevas áreas con prioridad peatonal (2019),Área Ambiental Retiro,Escala Humana,,2019,,,
Avenida Paseo Colón - Avenida de Mayo - Avenida 9 de Julio - Avenida Independencia,-35,-58,31,5 nuevas áreas con prioridad peatonal (2019),Área Ambiental Casco Histórico,Escala Humana,,2019,,,
Velez Sarsfield 1271,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 01,Integración Social,,2017,,,
Terrada 5850,-35,-59,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 02,Integración Social,,2017,,,
Soldado de la Frontera 5144,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 03,Integración Social,,2017,,,
Av. J. B. Alberdi 6300,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 04,Integración Social,,2017,,,
Av. Piedra Buena 3140,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 05,Integración Social,,2017,,,
"Mariano Acosta 3673 (esq. Av. Intendente Rabanal, ex Av. Roca)",-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 06,Integración Social,,2017,,,
2 de Abril de 1982 Nº 6850,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 07,Integración Social,,2017,,,
Osvaldo Cruz 3485,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 08,Integración Social,,2017,,,
Irala 1254,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 09,Integración Social,,2017,,,
Amancio Alcorta 1402,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 10,Integración Social,,2017,,,
Agüero 940,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 11,Integración Social,,2017,,,
Olazábal 3960,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 12,Integración Social,,2017,,,
Directorio 4210,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 13,Integración Social,,2017,,,
Horacio Casco 4446,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 14,Integración Social,,2017,,,
Humberto 1° 470,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 15,Integración Social,,2017,,,
Osvaldo Cruz 2055,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 16,Integración Social,,2017,,,
El Salvador 4087,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 17,Integración Social,,2017,,,
Batlle Ordoñez 5080,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 18,Integración Social,,2017,,,
Curapaligüe 1905,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 19,Integración Social,,2017,,,
Ana María Janer y Charrúa 2330 (Villa 1 11 14),-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 20,Integración Social,,2017,,,
Gendarmería Nacional 522,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 21,Integración Social,,2017,,,
Guzmán 90,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 22,Integración Social,,2017,,,
Martínez Castro y Laguna (Pasaje L),-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 24,Integración Social,,2017,,,
Paseo EE.UU. del Brasil y Avda. Antártida Argentina,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 25,Integración Social,,2017,,,
Gurruchaga 1939,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 26,Integración Social,,2017,,,
Arias 3783,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 27,Integración Social,,2017,,,
Cafayate 5388 (detrás de la E 15 DE 21),-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 28,Integración Social,,2017,,,
Av. Dellepiane 6999,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 29,Integración Social,,2017,,,
Amancio Alcorta e Iguazú,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 30,Integración Social,,2017,,,
Ana Maria Janer y Agustin De Vedia,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 31,Integración Social,,2017,,,
Charrua 2900,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 32,Integración Social,,2017,,,
Córdoba 5741,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 33,Integración Social,,2017,,,
Gral. José G. Artigas 2262,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 34,Integración Social,,2017,,,
Osvaldo Cruz y Zavaleta,-35,-58399094,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 35,Integración Social,,2017,,,
Mercedes 1371/79,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 36,Integración Social,,2017,,,
Av. Corrales 6476 y Lisandro de la Torre,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 37,Integración Social,,2017,,,
Medrano 350,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 38,Integración Social,,2017,,,
24 de November 1679,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 39,Integración Social,,2017,,,
Esteban Bonorino 1729,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 40,Integración Social,,2017,,,
Ministro Brin 843,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 41,Integración Social,,2017,,,
Fonrouge 4377,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 43,Integración Social,,2017,,,
Saraza 4202,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 44,Integración Social,,2017,,,
Cochabamba 2622,-35,-58,19,7 consultas pediátricas en el primer año de vida (2017 zona sur; 2019 CABA),CESAC 45,Integración Social,,2017,,,
Avenida Argentina y Battle y Ordoñez,-35,-58,48,80.000 vecinos de barrios vulnerables con infraestructura urbana y servicios públicos (2019),Barrio 20,Integración Social,,2019,,,
Zavaleta y Riachuelo,-35,-58,48,80.000 vecinos de barrios vulnerables con infraestructura urbana y servicios públicos (2019),Camino de Sirga,Integración Social,,2019,,,
Fraga y Avenida Forest,-35,-58,48,80.000 vecinos de barrios vulnerables con infraestructura urbana y servicios públicos (2019),Barrio Fraga,Integración Social,,2019,,,
Olavarría y Caboto,-35,-58,48,80.000 vecinos de barrios vulnerables con infraestructura urbana y servicios públicos (2019),Lamadrid,Integración Social,,2019,,,
España 1900,-35,-58,48,80.000 vecinos de barrios vulnerables con infraestructura urbana y servicios públicos (2019),Barrio Rodrigo Bueno,Integración Social,,2019,,,
Avenida Eva Perón y Avenida Piedrabuena,-35,-58,48,80.000 vecinos de barrios vulnerables con infraestructura urbana y servicios públicos (2019),Barrio 15,Integración Social,,2019,,,
,-35,-58,48,80.000 vecinos de barrios vulnerables con infraestructura urbana y servicios públicos (2019),Barrio 31,Integración Social,,2019,,8,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 1: xx%,Integración Social,,2018,,1,100% de esquinas con rampas (Comuna 1: xx%)
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 2,Integración Social,,2018,,2,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 3,Integración Social,,2018,,3,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 4,Integración Social,,2018,,4,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 5,Integración Social,,2018,,5,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 6,Integración Social,,2018,,6,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 7,Integración Social,,2018,,7,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 8,Integración Social,,2018,,8,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 9,Integración Social,,2018,,9,
,-35,-59,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 10,Integración Social,,2018,,10,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 11,Integración Social,,2018,,11,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 12,Integración Social,,2018,,12,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 13,Integración Social,,2018,,13,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 14,Integración Social,,2018,,14,
,-35,-58,21,Buenos Aires Accesible: 100% esquinas con rampas (2018),Comuna 15,Integración Social,,2018,,15,
Avenida Córdoba y Uriburu,-35,-58,42,Campus Urbano en Plaza Houssay (2019),Plaza Houssay,Escala Humana,,2019,RECOLETA,2,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PBN Congreso,Escala Humana,,2019,COGHLAN,12,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PBN Constituyentes,Escala Humana,,2019,VILLA URQUIZA,12,
,-35,-59,34,Construir 25 nuevos pasos a/bajo nivel (2019),PBN San Martín,Escala Humana,,2019,PATERNAL,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PBN Balbin(27%),Escala Humana,,2019,SAAVEDRA,12,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PBN Nazca(15%),Escala Humana,,2019,VILLA DEL PARQUE,11,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PBN Beiro,Escala Humana,,2019,AGRONOMIA,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Saenz,Escala Humana,,2019,NUEVA POMPEYA,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Alcorta,Escala Humana,,2019,PARQUE PATRICIOS,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Einstein,Escala Humana,,2019,NUEVA POMPEYA,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Cachi,Escala Humana,,2019,NUEVA POMPEYA,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Taborda,Escala Humana,,2019,PARQUE PATRICIOS,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Peperí,Escala Humana,,2019,NUEVA POMPEYA,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Monteagudo,Escala Humana,,2019,NUEVA POMPEYA,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Zavaleta,Escala Humana,,2019,PARQUE PATRICIOS,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Corrales,Escala Humana,,2019,NUEVA POMPEYA,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Tabaré,Escala Humana,,2019,NUEVA POMPEYA,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Ramírez,Escala Humana,,2019,NUEVA POMPEYA,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Fournier,Escala Humana,,2019,NUEVA POMPEYA,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Ochoa,Escala Humana,,2019,NUEVA POMPEYA,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Atuel,Escala Humana,,2019,PARQUE PATRICIOS,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Iguazú,Escala Humana,,2019,PARQUE PATRICIOS,4,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Córdoba,Escala Humana,,2019,PALERMO,14,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Corrientes,Escala Humana,,2019,VILLA CRESPO,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Newbery,Escala Humana,,2019,CHACARITA,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Trelles / Warnes,Escala Humana,,2019,PATERNAL,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN JB Justo,Escala Humana,,2019,PALERMO,14,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Dorrego,Escala Humana,,2019,VILLA CRESPO,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Soler,Escala Humana,,2019,PALERMO,14,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Paraguay,Escala Humana,,2019,PALERMO,14,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Honduras,Escala Humana,,2019,PALERMO,14,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Gorriti,Escala Humana,,2019,PALERMO,14,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Cabrera,Escala Humana,,2019,PALERMO,14,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Niceto Vega,Escala Humana,,2019,PALERMO,14,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Loyola,Escala Humana,,2019,VILLA CRESPO,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Ramírez de Velazco,Escala Humana,,2019,VILLA CRESPO,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Girardot,Escala Humana,,2019,VILLA CRESPO,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Castillo,Escala Humana,,2019,VILLA CRESPO,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Aguirre,Escala Humana,,2019,VILLA CRESPO,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Vera,Escala Humana,,2019,VILLA CRESPO,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Villarroel,Escala Humana,,2019,CHACARITA,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Iturri,Escala Humana,,2019,CHACARITA,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Leiva,Escala Humana,,2019,CHACARITA,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Caldas,Escala Humana,,2019,CHACARITA,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Concepción Arenal,Escala Humana,,2019,CHACARITA,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Montenegro,Escala Humana,,2019,CHACARITA,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Santos Dumont,Escala Humana,,2019,CHACARITA,15,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Olleros,Escala Humana,,2019,PALERMO,14,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Juramento,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Pampa,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Sucre,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Mendoza,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Olazabal,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Blanco Encalada,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Monroe,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Virrey del Pino,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Echeverría,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN José Hernández,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Roosevelt,Escala Humana,,2019,BELGRANO,13,
,-35,-58,34,Construir 25 nuevos pasos a/bajo nivel (2019),PAN Ugarte,Escala Humana,,2019,BELGRANO,13,
,-35,-58,50,Construir un Polo Educativo en Mataderos (2019),Polo educativo Mataderos,Integración Social,,2019,MATADEROS,9,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Velazco Ibarrra,Disfrute y Convivencia,,2019,BALVANERA,3,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Parque Avellaneda,Disfrute y Convivencia,,2019,PARQUE AVELLANEDA,9,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Colombia,Disfrute y Convivencia,,2019,BARRACAS,4,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plazoleta Reino de Tailandia,Disfrute y Convivencia,,2019,RECOLETA,2,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Rosario Vera Peñaloza,Disfrute y Convivencia,,2019,SAN TELMO,1,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza 25 de Agosto,Disfrute y Convivencia,,2019,VILLA ORTUZAR,15,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Vélez Sarfield,Disfrute y Convivencia,,2019,FLORESTA,10,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Palermo Viejo,Disfrute y Convivencia,,2019,PALERMO,14,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Balcarce,Disfrute y Convivencia,,2019,NUÑEZ,13,
,-35,-59,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Leandro N. Alem,Disfrute y Convivencia,,2019,VILLA PUEYRREDON,12,
,-35,-59,2,Duplicar el reciclado de basura (2019),Punto Verde Parque Santojanni,Disfrute y Convivencia,,2019,LINIERS,9,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Parque Chacabuco,Disfrute y Convivencia,,2019,PARQUE CHACABUCO,7,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Estación Villa Soldati,Disfrute y Convivencia,,2019,VILLA SOLDATI,8,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Parque Saavedra,Disfrute y Convivencia,,2019,SAAVEDRA,12,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Monseñor de Andrea,Disfrute y Convivencia,,2019,RECOLETA,2,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Aristóbulo del Valle,Disfrute y Convivencia,,2019,VILLA DEL PARQUE,11,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza 1ro de Mayo,Disfrute y Convivencia,,2019,BALVANERA,3,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Boedo,Disfrute y Convivencia,,2019,BOEDO,5,
,-35,-59,2,Duplicar el reciclado de basura (2019),Punto Verde Especial - Plaza Arenales,Disfrute y Convivencia,,2019,VILLA DEVOTO,11,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Almagro,Disfrute y Convivencia,,2019,ALMAGRO,5,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Sudamérica,Disfrute y Convivencia,,2019,VILLA RIACHUELO,8,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Especial - Parque Centenario,Disfrute y Convivencia,,2019,CABALLITO,6,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Parque Los Andes,Disfrute y Convivencia,,2019,CHACARITA,15,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Güemes,Disfrute y Convivencia,,2019,PALERMO,14,
,-35,-59,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Don Bosco,Disfrute y Convivencia,,2019,MONTE CASTRO,10,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Gral. Manuel Belgrano,Disfrute y Convivencia,,2019,BELGRANO,13,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Pueyrredón,Disfrute y Convivencia,,2019,FLORES,7,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Parque Rivadavia,Disfrute y Convivencia,,2019,CABALLITO,6,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Parque Patricios,Disfrute y Convivencia,,2019,PARQUE PATRICIOS,4,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza San Martín,Disfrute y Convivencia,,2019,RETIRO,1,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Puerto Madero,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Emilio MItre,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Petrolina Rodríguez,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Martín Fierro,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Polo Circo,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Parque Leonardo Pereyra,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Irlanda,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Estación Medalla Milagrosa,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza de los Periodistas,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Angel Gris,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Villa 20,,,,,,
,-35,-59,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Rómulo Zabala,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Domingo Olivera,,,,,,
,-35,-59,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Alberdi,,,,,,
,-35,-59,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Ciudad de Banff,,,,,,XXXX
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Ejercito de los Andes,,,,,,
,-35,-58,2,Duplicar el reciclado de basura (2019),Punto Verde Plaza Roque Sáenz Peña,,,,,,
